SNWASWS_ID,LCTN_ID,LCTN_NM,ELEVATION,STATUS,LATITUDE,LONGITUDE,SHAPE,OBJECTID,X,Y,unusable,Downloaded,Filed,SD Start,SD End,PC Start,PC End
41,1F06P,Celista,1500,Active,51.406665,-118.999725,,185019,1485612.408,734411.7307,,TRUE,,,,,
42,2A06P,Mount Revelstoke,1850,Active,51.036342,-118.151603,,185020,1548782.893,699582.788,TRUE,FALSE,,,,,
43,2A17P,Fidelity Mountain,1874,Inactive,51.233333,-117.716667,,185021,1576498.13,724838.7659,TRUE,FALSE,,,,,
44,2A18P,Keystone Creek,1840,Active,51.411289,-118.360656,,185022,1529724.49,739507.1335,TRUE,FALSE,,,,,
45,2A21P,Molson Creek,1935,Active,52.220556,-118.225833,,185023,1529150.56,830179.8749,TRUE,FALSE,,,,,
46,2A30P,Colpitti Creek,2131,Active,51.607722,-117.610861,,185024,1578896.083,767126.029,TRUE,FALSE,,,,,
47,2A31P,Caribou Creek,2201,Active,51.109028,-117.228417,,185025,1612021.079,715191.6945,TRUE,FALSE,,,,,
48,2A32P,Wildcat Creek,2122,Active,51.696303,-116.629411,,185026,1644943.479,785403.9151,TRUE,FALSE,,,,,
49,2A33P,Conrad Glacier,2599,Active,50.812033,-116.93975,,185027,1636275.302,684925.0693,TRUE,FALSE,,,,,
50,2A34P,Glacier NP Rogers Pass Lower,1182,Active,51.270116,-117.509425,,185028,1590362.987,730615.5182,TRUE,FALSE,,,,,
51,2A35P,Fred Laing Lower,577,Active,52.05381,-118.58594,,185029,1506675.087,809061.8883,,TRUE,,,,,
52,2B06P,Barnes Creek,1620,Active,50.068553,-118.351122,,185030,1546503.376,590962.3379,TRUE,FALSE,,,,,
53,2B08P,St. Leon Creek,1800,Active,50.434172,-117.701214,,185031,1587976.004,636593.4781,TRUE,FALSE,,,,,
54,2B10P,Fauquier Water Treatment Plant,519,Active,49.864182,-118.074228,,185032,1568745.469,570549.8182,,TRUE,,,,,
55,2C09P,Morrissey Ridge,1860,Inactive,49.447028,-114.973675,,185033,1796885.836,554487.0675,TRUE,FALSE,,,,,
56,2C09Q,Morrissey Ridge,1860,Active,49.447222,-114.975,,185034,1796787.504,554493.4759,TRUE,FALSE,,,,,
57,2C10P,Moyie Mountain,1835,Active,49.2515,-115.7739,,185035,1742599.173,524301.5666,,TRUE,,,,,
58,2C14P,Floe Lake,2090,Active,51.059917,-116.137117,,185036,1688458.339,719793.079,TRUE,FALSE,,,,,
59,2C21P,Fernie,988,Active,49.48825,-115.072611,,185037,1789088.325,557905.5249,,TRUE,,,,,
60,2D05P,Gray Creek Lower,1650,Active,49.61142,-116.6788,,185038,1672034.13,554881.7408,TRUE,FALSE,,,,,
61,2D07AP,Duncan Lake Dam 2,559,Active,50.238723,-116.971343,,185039,1642185.048,621348.2752,,TRUE,,,,,
62,2D08P,East Creek,2030,Active,50.6396,-116.929733,,185040,1639427.82,665975.3767,TRUE,FALSE,,,,,
63,2D10P,Gray Creek Upper,1930,Active,49.61656,-116.6589,,185041,1673385.36,555637.2975,,TRUE,,,,,
64,2D14P,Redfish Creek,2100,Active,49.69008,-117.0865,,185042,1641700.916,559771.3913,,TRUE,,,,,
65,2D15P,Kaslo Airport,717,Active,49.90375,-116.928278,,185043,1649993.387,584783.1543,,TRUE,,,,,
66,2D16P,New Denver East,653,Active,49.996657,-117.358372,,185044,1618075.725,591183.6249,,TRUE,,,,,
67,2E07P,Grano Creek,1870,Active,49.55197,-118.6773,,185045,1529214.793,531360.8315,,TRUE,,,,,
68,2F01AP,Trout Creek West,1420,Active,49.74017,-120.1891,,185046,1418518.37,542075.0217,,TRUE,,,,,
69,2F05P,Mission Creek,1780,Active,49.94467,-118.9497,,185047,1505253.269,572810.3256,,TRUE,,,,,
70,2F08P,Greyback Reservoir,1550,Active,49.616344,-119.422678,,185048,1474845.991,533196.5793,,TRUE,,,,,
71,2F09P,Whiterocks Mountain,1800,Active,50.01669,-119.7461,,185049,1447631.298,575425.642,,TRUE,,,,,
72,2F10P,Silver Star Mountain,1840,Active,50.37136,-119.06211,,185050,1492578.696,619256.829,,TRUE,,,,,
73,2F18P,Brenda Mine,1460,Active,49.862361,-119.982111,,185051,1432237.362,556858.9143,TRUE,FALSE,,,,,
74,2F19P,Oyama Lake,1360,Active,50.11633,-119.279,,185052,1479916.878,589523.1368,,TRUE,,,,,
75,2G03P,Blackwall Peak,1940,Active,49.09414,-120.7725,,185053,1381877.813,467196.5078,,TRUE,,,,,
76,3A09P,Palisade Lake,900,Active,49.454444,-123.031944,,185054,1215277.139,497638.8375,,TRUE,,,,,
77,3A17P,Tiedemann Glacier,1400,Inactive,51.35,-124.966667,,185055,1071889.356,704593.7643,TRUE,FALSE,,,,,
78,3A19P,Orchid Lake,1180,Active,49.535833,-123.050834,,185056,1213531.055,506620.1374,,TRUE,,,,,
79,3A20P,Callaghan,1017,Active,50.137056,-123.102889,,185057,1207028.823,573266.8486,,TRUE,,,,,
80,3A22P,Nostetuko River,1500,Active,51.24325,-124.459583,,185058,1107421.474,693345.7643,,TRUE,,,,,
81,3A24P,Mosley Creek Upper,1650,Active,51.77617,-124.6218,,185059,1094954.763,752481.961,,TRUE,,,,,
82,3A25P,Squamish River Upper,1360,Active,50.1543,-123.4361,,185060,1183159.043,574265.5405,,TRUE,,,,,
83,3A28P,Tetrahedron,1420,Active,49.59785,-123.60499,,185061,1173191.904,511995.5699,,TRUE,,,,,
84,3A29P,Loch Lomand,1070,Active,49.592,-123.0444,,185062,1213736.033,512877.7266,,TRUE,,,,,
85,3B17P,Wolf River Upper,1490,Active,49.704139,-125.67925,,185063,1023145.408,520934.7316,TRUE,FALSE,,,,,
86,3B23P,Jump Creek,1160,Active,48.969505,-124.276182,,185064,1126366.977,440785.6511,,TRUE,,,,,
87,3B24P,Heather Mountain Upper,1190,Active,48.943875,-124.452113,,185065,1113534.506,437641.8561,,TRUE,,,,,
88,3B25P,North Road Test ASWS,35,Active,48.486,-123.412306,,185066,1191632.876,389071.8819,,TRUE,,,,,
89,3B26P,Mount Arrowsmith,1465,Active,49.207376,-124.567776,,185067,1104459.924,466726.9906,,TRUE,,,,,
90,3C08P,Burnt Bridge Creek,1330,Active,52.480889,-126.247833,,185068,983198.8942,830154.2544,,TRUE,,,,,
91,4A02P,Pine Pass,1400,Active,55.353,-122.637333,,185069,1212658.136,1155684.717,,TRUE,,,,,
92,4A03P,Ware Upper,1565,Active,57.396181,-125.700469,,185070,1017985.023,1378656.347,,TRUE,,,,,
93,4A04P,Ware Lower,971,Active,57.407556,-125.677339,,185071,1019368.081,1379930.933,TRUE,FALSE,,,,,
94,4A09P,Pulpit Lake,1311,Active,57.548583,-126.748314,,185072,955248.5604,1395849.157,,TRUE,,,,,
95,4A12P,Tsaydaychi Lake,,Active,55.41635,-124.763,,185073,1078130.906,1158386.969,,TRUE,,,,,
96,4A13P,Philip Lake,1028,Active,55.1238,-123.897927,,185074,1133727.072,1127034.428,TRUE,FALSE,,,,,
97,4A18P,Mount Sheba,1490,Active,54.526667,-121.804167,,185075,1270756.56,1066420.743,,TRUE,,,,,
98,4A20P,Monkman Creek,1570,Active,54.725281,-121.231697,,185076,1306153.265,1090878.913,TRUE,FALSE,,,,,
99,4A27P,Kwadacha North,1554,Active,57.623333,-125.073167,,185077,1055317.757,1404309.208,,TRUE,,,,,
100,4A29P,Parsnip River,800,Inactive,54.602466,-122.134657,,185078,1248990.426,1073654.676,TRUE,FALSE,,,,,
101,4A30P,Aiken Lake,1050,Active,56.43686,-125.7417,,185079,1015899.859,1271630.237,,TRUE,,,,,
102,4A31P,Crying Girl Prairie,1358,Active,56.385861,-122.892833,,185080,1191452.804,1270112.601,TRUE,FALSE,,,,,
103,4A33P,Muskwa-Kechika,1196,Active,56.781389,-123.106389,,185081,1176498.444,1313650.428,TRUE,FALSE,,,,,
104,4A34P,Dowling Creek,1456,Active,55.825083,-122.43625,,185082,1222712.865,1208933.267,TRUE,FALSE,,,,,
105,4A35P,Germansen Landing,766,Active,55.785528,-124.701444,,185083,1081262.601,1199656.672,,TRUE,,,,,
106,4A36P,Parsnip Upper,790,Active,54.605556,-122.137583,,185084,1248783.305,1073988.742,,TRUE,,,,,
107,4A37P,McQue Terrace,1200,Active,56.9815,-123.404167,,185085,1157525.411,1335255.401,TRUE,FALSE,,,,,
108,4B02P,Johanson Lake,1467,Active,56.605415,-126.19401,,185086,988109.0947,1290425.292,,TRUE,,,,,
109,4B12P,Granduc Mine,790,Active,56.2467,-130.0662,,185087,748620.7227,1257602.35,TRUE,FALSE,,,,,
110,4B15P,Lu Lake,1300,Active,54.19683,-126.3041,,185088,980206.8861,1021621.45,,TRUE,,,,,
111,4B16P,Shedin Creek,1480,Active,55.861653,-127.69842,,185089,893922.2591,1208680.44,,TRUE,,,,,
112,4B17P,Tsai Creek,1360,Active,54.645906,-127.674272,,185090,892221.0016,1072978.814,,TRUE,,,,,
113,4B18P,Cedar-Kiteen,885,Active,55.152028,-128.711028,,185091,827670.6347,1131499.942,,TRUE,,,,,
114,4C01P,Sikanni Lake,1387,Active,57.263756,-124.131981,,185092,1112540.381,1365334.815,,TRUE,,,,,
115,4C09P,Deadwood River,1300,Inactive,59.25906,-128.33011,,185093,866945.3196,1588339.878,TRUE,FALSE,,,,,
116,4C11P,Bluff Creek,1040,Inactive,58.533333,-126.45,,185094,973785.9291,1505441.815,TRUE,FALSE,,,,,
117,4C14P,Frog River,1480,Inactive,57.982551,-127.493339,,185095,911719.2139,1444922.005,TRUE,FALSE,,,,,
118,4C20P,Sierra Climate,572,Inactive,58.838191,-121.396516,,185096,1265775.785,1547951.664,TRUE,FALSE,,,,,
119,4C21P,Two Island Climate,708,Inactive,59.344647,-122.085922,,185097,1222903.202,1601835.727,TRUE,FALSE,,,,,
120,4C22P,Kiwigana Climate,30,Inactive,59.260277,-123.056666,,185098,1168047.487,1589779.329,TRUE,FALSE,,,,,
121,4D08P,Forrest-Kerr Creek,560,Inactive,56.95,-130.783333,,185099,709647.0363,1338666.208,TRUE,FALSE,,,,,
122,4D10P,Tumeka Creek,1220,Active,57.238829,-129.706672,,185100,776619.0861,1366919.309,,TRUE,,,,,
123,4D11P,Kinaskan Lake,1020,Active,57.57869,-130.262739,,185101,745426.5817,1406636.442,,TRUE,,,,,
124,4D13P,Upper Stikine,1450,Inactive,57.233333,-128.316667,,185102,860328.169,1362742.455,TRUE,FALSE,,,,,
125,4D14P,Wade Lake,1370,Inactive,58.1875,-128.9133,,185103,828751.7729,1470354.911,TRUE,FALSE,,,,,
